,comments,dateStamp
64,"Some selfish people down in the comment section . Want to reap the of a society without getting yourself . Wow , socialist much ?",2021-05-27T01:13:16Z
65,"What do you think of this , "" Imagine a vaccine so safe you have to be forced to take it , to protect you from a disease so deadly you have to be tested to tell if you have it ."". These are not my , I just thought that they were accurate .",2021-05-26T22:09:27Z
66,"If you get your , you ' re the .",2021-05-26T20:45:18Z
67,I felt really bad yesterday and I feel bad today and I took will get beaten with this vaccine,2021-05-26T15:08:18Z
68,Subscribe me all of 🙏🙏,2021-05-26T14:25:57Z
69,Covid already 287 people under 18 in the United . Please hurry and get this new into our,2021-05-26T13:46:39Z
70,"' t US its on future of its vaccine for the EU , raising the cost by more than 60 %, to $ 23 per dose ( is $ 18 )? But the cost for is only $ 2 . 15 and the cost for V is $ 10 . The vaccine V not yet been by the EU . However , that did not prevent the vaccine - out of frustration at the slow progress in vaccination in the EU . “ The Lancet ” that the level of protection of the vaccine is 91 . 6 %. vaccine risk of COVID - 19 in health by 94 %. It ’ s effective against the variant and can quickly cope with new .",2021-05-26T13:13:53Z
71,"Have millions of people REALLY gotten a vaccine ? ’ t it risky undermining public confidence by or delaying the 3 - week gap to 3 - month gap between ? The second dose should be given 3 after the first dose . While the vaccine is highly effective , it does not guarantee immunity . In other that are even COVID - 19 free for over a year , people still need to wear or physically distance — if they ’ re indoors . ’ t it risky undermining public confidence by telling people who are fully no longer need to wear or physically distance — when they ’ re indoors ?",2021-05-26T13:12:22Z
72,please authorize it by June 1 or any time on june ( must be early june ),2021-05-26T10:32:36Z
73,safe for 12 - 17 old,2021-05-26T10:31:31Z
74,Everyone with the Covid19 vaccine needs to be tried for against .,2021-05-26T09:12:42Z
75,For the love of don ' t do it . If you are under 30 you don ' t need it ( nobody needs it ) it ' s a new technology and it ' s . You are the Do not believe them,2021-05-26T08:36:55Z
76,Go for the . Nice . Yes,2021-05-26T07:54:42Z
77,I ’ t getting this,2021-05-26T07:12:33Z
78,"The WHO agreed the next step is to investigate the trade of live , and bats . Cosmetic should be to research the three species and their environment . Climatic , food , dietary and common sense is . te marae a Tane - , te marae a , te . If the land is well and the sea is well , the people will thrive .",2021-05-26T04:07:59Z
79,"US Covid 605 , 208 New 26 . The don ' t lie . The WHO confirmed that Covid was not made in a lab and backed those . Traitor Trump left the WHO humiliating the US and making it Earth ' s worst pandemic response . Stop blaming China and the WHO simple 3 point plan . How more simple did it have to be for to understand ?",2021-05-26T04:07:52Z
80,"We live in a generation where teasing and laughing at is the norm . , Anti - and Anti - who never wear are now they ' re . The 11 day death toll of 230 and 12 ' t even half of the average 600 daily US Covid death toll . Covid US 605 , 208 311 , 421 221 , 960 Canada 25 , 324 China 4 , 636 910 35 26 .",2021-05-26T04:07:11Z
81,Roll out the choice and the loveless mask social are not to black cultural or religious and we will not take the Mark of The Beast In order to attend your school,2021-05-26T03:08:44Z
82,We will not take the Mark of The Beast,2021-05-26T03:06:49Z
83,Since when is approval and Emergency Use Authorization interchangeable ? 👎🏿,2021-05-26T01:42:18Z
84,And even less in the new variant and that is in the United now . They are on the original covid - 19 at the beginning the variance have cut the efficacy down,2021-05-25T23:47:28Z
85,Ding ding ding ! 100 %?! That ' s a tip - off to be very very suspect !,2021-05-25T23:46:37Z
86,"Want my experimental drink ? I made it in a hurry and haven ’ t finished testing it for safety . I have a criminal history of fraud . I shall not tell you all the only the I think you should know . If anything goes wrong well tough luck , you can ’ t sue me for injury or damage . If you question or have a problem with any of the above my well in the media and my general public will label you ANTI drinker and conspiracy theorist .",2021-05-25T22:25:22Z
87,an expanded market for big pharmaceutical,2021-05-25T22:20:02Z
88,"Nope , , not happening",2021-05-25T22:04:11Z
89,"Hello . The Son of God , the Savior us of the of the end and his return . , , , in nature , evil . We need to seek God from the heart . a plan of and eternal salvation for each of us . from Brazil .",2021-05-25T21:06:52Z
90,I don ' t trust any vaccine for any one,2021-05-25T20:42:26Z
91,is your with and whole family . Think about it . Ask yourself why is this so important,2021-05-25T20:36:58Z
92,13 .... NO ONE CAN BUY OR SELL WITHOUT THE MARK OF THE BEAST ! NOW MILITARY BASES IN IN EXCHANGE FOR THE VACCINE THIS IS AN AGENDA YOU ALL .... WATCH ABUSIVE VACCINE ON TO SEE WHAT ' S REALLY GOING ON,2021-05-25T20:32:28Z
93,"A never before vaccine that your forever , toxic in it make an antenna for 5G ... 🤔",2021-05-25T20:30:08Z
94,": 4 out of 1233 where tested . The Placebo works 99 , 7 %. Yes !!!! Finally we found something secure .",2021-05-25T20:21:04Z
95,More money for vaccine . Soon we ' be hearing about a vaccine for . EDIT : I was but they actually have for aged 6 WOW !!,2021-05-25T20:13:57Z
96,You would have to be completely out of your mind to vaccinate your child .,2021-05-25T20:10:14Z
97,More to lab rat your out to big .,2021-05-25T20:07:01Z
98,Disgusting . have a 99 . 99 % survival rate . No one ANY business these experimental death into . Reprehensible !,2021-05-25T19:37:40Z
99,Leave the alone ! Your generation already done enough harm to this planet and the ' s future !,2021-05-25T19:29:36Z
100,Don ' t don ' t don ' t get it,2021-05-25T19:24:08Z
101,Imagine being the that thought they got the vaccine but they actually got the placebo and got COVID . They would ' lost trust in the system .,2021-05-25T19:20:18Z
102,"- 102 as the to get the drug into . - 102 , suspected of causing cancer ; fertility , unborn child ; DAMAGES central nervous system , , liver , respiratory system ( Safety Data Sheet , , )",2021-05-25T19:13:10Z
103,Thanks for and,2021-05-25T18:54:49Z
104,President Trump and President for rapid development of .,2021-05-25T18:47:37Z
105,""" ( Covid ) Vaccine Poised To Become 2nd For 12 - 17 Old "" thereby us , the people of , to redouble our to rapidly find out at any given moment , even while On - Line , who among us are unwittingly contagious ( i . e . - symptomatic or asymptomatic ) in order to # for them to call their doctor and to self - quarantine per in of stopping this pandemic instead of more # . Thus , we ' re for the best while for the worse - case scenario of the B . 1 . 1 . 7 lineage and like the P . 1 , B . 1 . 135 , B . 1 . 351 , B . 1 . 429 , B . 1 . 525 , & B . 1 . 617 . 1 - 3 lineage combining to render current COVID no longer effective .",2021-05-25T18:24:04Z
106,Does the title said poison ☠️ that very appropriate,2021-05-25T18:23:11Z
107,This is insane .,2021-05-27T13:44:42Z
108,f ^ this nonsense - this is CRIMINAL,2021-05-27T01:42:56Z
109,The post is a terrorist group .,2021-05-25T19:26:01Z
110,"Anything to boost the vaccination , right Joe ?",2021-05-25T17:14:53Z
111,"It ' s Always the Same people that ABORT their , that push what you should do with your ...",2021-05-25T14:58:58Z
112,"I don ' t understand why are to be since they pose zero to not even a fraction of a percent to catch covid . Ignorance i suppose , i will never allow mine to get the unproven untested vaccine that your besides is NOT a credible person .",2021-05-25T14:56:58Z
113,Your a fool if you let your get the vaccine,2021-05-25T14:48:04Z
114,Anyone with the Covid19 vaccine needs to be tried for against .,2021-05-25T10:44:37Z
115,now said Trump was correct covid came from lab . I want my Twitter account .,2021-05-25T01:12:20Z
116,"I object to the Equality Act by the Democratic Party . The Equality Act is a lie . From the Father of , Save Us , O Lord . God mankind in his image ; in the image of God he them ; male and female he them .",2021-05-24T17:31:59Z
117,is the way . News : On a mission to report the truth . God bless the United of .,2021-05-24T17:31:51Z
118,", Chapter 112 : 1 . Say : He is , the One and Only ; 2 . , the Eternal , Absolute ; 3 . He not , nor is He begotten ; 4 . And there is none like unto Him .",2021-05-24T16:57:33Z
119,"* I HAVE GOOD NEWS FOR YOU !* Your debt been ! What debt ? * The debt of sin .* _Because the wage of sin is death , but_ * THE GIFT OF GOD IS ETERNAL LIFE THROUGH OUR LORD * – * 6 : 23 * _For all have , and come short of the glory of God , being freely by his grace through the redemption that is in Jesus_ – * 3 : 23 - 24 .* * HOW SIN THE WORLD - GENESIS 3 : 1 - 24 * _Wherefore , as by one man sin into the world , and death by sin ; and so death upon all men , for that all have sinned_ – * 5 : 12 .* * THROUGH DEATH , THROUGH LIFE * _Therefore as by the of one judgment came upon all men to condemnation ; even so by the righteousness of one the free gift came upon all men unto justification of life_ – * 5 : 18 .* * WHAT IS THE GOSPEL OF SALVATION ?* ( Good news in language ) _Christ for our according to the ; and that He was buried , and that He rose again the third day according to the scriptures_ – * 1CORINTHIANS 15 : 1 - 4 .* He , fully man and fully God , , to give you this gift of Eternal Life . Why He did it ? Because He YOU ! - _For God so the world that he gave his only begotten Son , that in him should not perish , but have everlasting life_ - * 3 : 16 .* * * laid down his glory * 2 : 7 .* Was born of a virgin * 1 : 18 - 25 .* Wrapped in flesh * 1 : 14 .* Lived a perfect life and never sin * 1JOHN3 : 5 , 1PETER ** 2 : 22 **.* Shed his precious blood for you on the cross of to the debt of our . * 1CORINTHIANS 15 : 1 - 4 * _For he hath made him to be sin for us , who knew no sin ; that we might be made the righteousness of God in him_ – * 2CORINTHIANS 5 : 21 .* * WHAT SHOULD I DO TO BECOME A CHILD OF GOD ?* * A * – Admit you are a sinner in need of a Savior . As it is written : _There is non righteous , no , not one_ – * 3 : 10 .* _For all have , and come short of the glory of God_ – * 3 : 23 .* * B * – Believe on finished redemptive work of on the Cross – for your , was buried and third day He rose again – * 1CORINTHIANS 15 : 1 - 4 THE GOSPEL OF SALVATION .* If you want to enter to the Kingdom of Heaven , you must have a faith like a child – trust their . Why I ? Because God is our Creator ; He is our Father ; He is our Parent - _Before I formed you in the womb I knew you , before you were born I set you apart_ – * 1 : 5 .* * C * – Call on the name of the Lord and you will be saved - _If you declare with your mouth , “ is Lord ,” and believe in your heart that God raised him from the dead , you will be saved . For it is with your heart that you believe and are , and it is with your mouth that you profess your faith and are saved_ – * 10 : 9 - 10 .* _For everyone who on the name of the Lord will be saved – * 10 : 13 .* is the shower / water that us of all unrighteousness . _Come now , let us settle the matter , the Lord . Though your are like scarlet , they shall be as white as snow ; thought they are red as crimson , they shall be like wool_ - * 1 : 18 .* Believe what He did on the Cross for you and you will be saved , sealed with the Holy Spirit and Sanctified until the day of Redemption ! Shalom and God bless you all ❤️",2021-05-24T16:56:50Z
120,"Wow Nice video , the arrangement , the , the message 👌🏻👌🏻👌🏻",2021-05-22T03:24:07Z
121,any other teens or with an disease gotten the covid vaccine ? how was it ? Or anyone with an disease not getting it ? I have lupus and am skeptical getting it . If I have completely healthy I honestly ’ t think of getting it .,2021-05-29T22:22:49Z
122,Beautiful,2021-05-29T17:57:07Z
123,I hope your don ' t end up you for health they get from this experimental shot given to them before they could even give true informed consent .,2021-05-29T15:19:13Z
124,Great information ! Thank you !,2021-05-29T00:38:22Z
125,Let me get this straight . are experimental ( Check ) are not by the ( Check ) Vaccine long term health effects such as cancer and other devastating are unknown ( Check ) Vaccine may make you sterile ( Check ) No other have made it past animal . Most ( Check ) We are test for a rushed out vaccine from a virus with over a 99 % survival rate ( Check ) are and being ( Ice cream ) to get this vaccine without parental consent ? ( Check ) Confirmed in Vaccine cause organ degradation / eventual death ( Check ) People getting virus from that have never left the house after pandemic was known ( Check ) People that are unaware they have an asymptomatic virus infection are 8 times more likely to die if they get the vaccine ( Check ) Vaccine are not liable for health / death from vaccine ( Check ) UN Agenda 21 / 30 approve of human population reduction ( Check ) UN for planet wide experimental ( Check ) Anyone see anything wrong with this picture ?,2021-05-28T21:37:53Z
126,. . for : Communist Campaign . .,2021-05-28T19:59:11Z
127,According to :// c19early . / and vitamin D are 78 % effective each . This 22 % not effective = 0 . 22 . if you combine both then not effective = 0 . 22 x 0 . 22 = 0 . 0484 = 1 - 0 . 0484 = 0 . 9516 = 95 . 16 % effective .,2021-05-28T18:21:21Z
128,""" Background to the new 2021 : A large team of more than 1 , 000 and over 10 , 000 medical , led by . , legal against the , WHO and the Group for Against Humanity . -- Geneva . and his team present the incorrect test and the order for to describe any death as a Covid death – as fraud . The test was never designed to detect and is 100 % inaccurate at 35 . All by the are set at 37 to 45 . The that over 28 are not for a positive reliable result . This over 90 % of the Covid / “ ” by the use of this incorrect test . In addition to the incorrect and fraudulent death , the “ experimental ” vaccine itself Article 32 of the Geneva Convention . Under Article 32 of the 1949 Geneva Convention , “ mutilation and medical or scientific not for the medical treatment of a person ” are . According to Article 147 , biological on is a serious breach of the Convention . The “ experimental ” vaccine all 10 – which carry the death penalty for those who try to break these international .""",2021-05-28T18:19:29Z
129,Perfectly for ' s ' s and their . THINK WITH YOUR HEAD ( ).🐑+💉=☠️,2021-05-28T15:45:24Z
130,Hell no my won ’ t get the vaccine !,2021-05-28T11:31:25Z
131,What a d um b doctor .... she ' be scratching her head when none can have,2021-05-28T01:04:39Z
132,"snake , she the "" friend "", than advice you to give your a experimental vaccine anyway . Her first , second and third . seeing people who are up after jab . She this for every child . her soul",2021-05-28T00:13:00Z
133,"Remember , all who the vaccine I to die soon .",2021-05-27T22:55:11Z
134,Fake Doctor,2021-05-27T15:35:08Z
135,don ’ t let ur take it ! there have ben of healthy getting heart inflammation from the vaccine .,2021-05-27T14:39:42Z
136,beware . many many healthy have gotten heart inflammation from the vaccine . and it ’ t from or and that did it . it was or . and none of the nor their were told that that was one of the side effects to the vaccine .,2021-05-27T14:07:04Z
137,:// . / watch ? id = 60aea0ce22192850db5031f9,2021-05-27T07:06:42Z
138,What propaganda is this ? She ' s clearly reading and she only this channel last month . Is this supposed to be real or like a commercial or something ? I don ' t get it .,2021-05-27T05:15:28Z
139,You are a liar or,2021-05-26T21:04:31Z
140,Did she just pronounce N Tech as Bion Tech,2021-05-26T19:30:19Z
141,If I had there is no way I would get them,2021-05-26T13:54:53Z
142,Covid is GONE in . should not be . Why ? What for ? The RISK for the . EMERGENCY USE ONLY AUTHORIZATION There is no longer an emergency . I know the need a continued emergency to remain in power since they can ' t govern otherwise . But this is no time to be with . WAIT WAIT there is no Emergency .,2021-05-26T06:20:01Z
143,I won ' t because they are not !,2021-05-26T02:59:10Z
144,"You ' given experimental to your ? A drug with no long term , that ' s not even been available for a year , ' t stop the transmission , ' t fully effective and constant , NO legal recourse ??",2021-05-26T02:19:25Z
145,Have faith not fear !!!,2021-05-25T21:31:00Z
146,The most deadly variant will evolve from the,2021-05-25T20:45:30Z
147,"is also another treatment option , why take the risk with the vaccine ? I understand they also want to investigate as a potential treatment for ' Long Covid '",2021-05-25T20:34:47Z
148,", check out video on here :// . . / watch ? v = GYbt7FcKF8M",2021-05-25T20:33:20Z
149,Look up patent number 060606 and what ' s to come !!!,2021-05-25T17:42:16Z
150,"So far , 18 in alone have been for heart inflammation . This concerning for a condition that is ordinarily very rare . How many throughout the country at this point have there been ... ? Even if most of these turn out to be "" mild "", what are the long - term effects of had inflammation of the heart at an early age ? Is this an acceptable risk for a virus that so few have serious with ? Article about the in : :// . . / news / health / / could - the - covid - vaccine - enlarge - hearts - in - - more - than - a - dozen - - in - - - investigating /",2021-05-25T14:44:59Z
151,This is not a illness .,2021-05-25T11:01:24Z
152,What parent in their right mind would give their the covid vaccine ???,2021-05-25T06:16:16Z
153,under 15 and really for my second dose ...,2021-05-25T04:56:01Z
154,". : Can you comment on whether who already had Covid , whose body successfully fought it off , who previously tested positive for should still get a vaccine ? like if a person successful natural immunity , that ought to be enough .",2021-05-24T15:45:04Z
155,Don ’ t do it ...,2021-05-24T14:14:02Z
