,comments,dateStamp
41,From what I have learned from the virus it is a respiratory system problem with blood vessels so when you recover from it you will have some health problems but if you lived through it there is medicine to take to help you out follow the science for real this is not over yet,2021-05-30T05:03:34Z
42,Thank you for your help and guidance always ❤️,2021-05-30T04:57:05Z
43,We have to take care of our selves definitely after the shot is given,2021-05-30T04:56:05Z
44,It's a evil ughly virus and it doesn't matter who it attacks,2021-05-30T04:52:30Z
45,"My sister got the virus 😷 in a rehab nursing home facility after having foot surgery and they were using this place to help people and it was close to the hospital but the hospital was fully packed with the people who had the virus and 23 people had the virus from a worker that came in with the virus
So I just wanted to make sure people understand help each other out and get vaccine shot done and save your self and some other people to amen God bless you all always 🙏🙌",2021-05-30T04:51:22Z
46,Sore arm and small head ache and wanted to sleep some but I am alive and I still wearing a mask when I get a in public just to be safe life is a chance get a shot,2021-05-30T04:43:10Z
47,Just die the natural way forget getting the vaccine it's a time bomb on your heart I have one more to go before I die it hurts alot not fun at all,2021-05-30T03:52:34Z
48,Moderna 🙋🏻‍♀️🙋🏻‍♀️ 41 yr old Hispanic woman. First shot not issues. Second shot a 24 hrs of mild fever and fatigued. No issues 2 months later. Even had a mammograms and nothing showed up...,2021-05-30T01:39:05Z
49,OMG....do not exercise is great advise and I wasn’t told.,2021-05-30T01:36:36Z
50,I’m pro vaccination but waiting another year to decide on the SARS2 vaccine. Do we have the vaccine for SARS1 yet?,2021-05-30T01:27:18Z
51,Don’t ask reasonable Scientific questions about vaccines John. You know that’s not allowed.,2021-05-30T01:15:45Z
52,"I really respect your work and expertise.  I would like you to explain to me why we would be vaccinating young children and young adults, who have little to no risk of dying from COVID? And also I would like you to address the fact that many people who have gotten these vaccines have also contracted Covid after receiving the vaccine. Why is this happening and why aren’t we paying attention to that?",2021-05-30T00:12:38Z
53,I take homocysteine reducing supplements. Most people have some soft of cardiac inflammation because of their diet.,2021-05-29T23:37:59Z
54,"This nonsense of getting the experimental drug injection has to stop
 People are being used as lab rats. These so called experts are out to destroy humanity. Our governments 
don’t care what happens to us. They sold out on us. These jabs are harming and possibly killing 
People. My goodness when is someone going to stop these evil beings, maybe they aren’t humans, but
demonic beings who hate humans!  Why can’t Dr. tam, and the other guy be honest with Canadians.
Too much money invested on ruining Canadian lives.  Enough with your lies, you should be
Fired, and face tribunals.",2021-05-29T22:55:22Z
55,any compensation from the companies to the people who developed all these side effects?,2021-05-29T22:16:41Z
56,Holy hell I'm losing IQ reading this comment section.,2021-05-29T21:38:07Z
57,"Perhaps it might be wiser to primarily vaccinate older people (or at least people over 35), since they're more at risk of complications from COVID, and seem to be less at risk of _at least some_ of the severe side effects of the vaccine.",2021-05-29T21:08:51Z
58,"I  am a nurse immuniser ..
never ever heard of so many side effects from any known vaccine ever  The reactions are overwhelming with this Corona Virus vaccine 
Been giving babies children their jabs for years 
No side effects hardly all    Imagine mandating to give this experiment to children  which is what they are advocating in the US",2021-05-29T20:41:25Z
59,"If your MP has written to Hancock then he, you and your followers may have a long, long wait!",2021-05-29T19:47:44Z
60,Risk all that for a vaccine against something which won’t kill you. ?,2021-05-29T19:03:22Z
61,Funny to see Americans worried about their hearts now.🤣🤣🤣 The most obese country in the world where folks basically live on hot dogs and McDonald’s they are now worried about a very rare condition a vaccine might pose. Hilarious!! 🤣🤣,2021-05-29T18:53:48Z
62,get gerrard van den bosche on show for post vaccine risks,2021-05-29T18:29:48Z
63,Excellent content Dr.Campbell.,2021-05-29T16:41:36Z
64,How about no vaccines. Worst case scenario 95% survival rate from this scam demek so what do we need to inject poison for? Oh yeah I know big Pharma needs a shot in the arm,2021-05-29T16:29:12Z
65,"I know 10 people that got moderna vaccine, 3 of them got irregular heart beats, all now on medication for it, shove it up where sun doesn't shine.",2021-05-29T16:27:07Z
66,Heard a young woman talk yesterday about how she's feeling after her vaccination. She's got intermittent chest pains and feels exhausted. Her symptoms seem similar to be this. She's been fobbed off by most health care  workers. She'd not done a Yellow Card but has now. Finally she's got a doc appointment for blood tests next week. No one cares what happens to people injured. Saw  another post where a nurse in A&E hospital said they knew what vaccine people had before they were told. A French ambulance man asked in large Lyon Hospital about all the patients he was bringing in with strokes after getting jabbed. He was told there were hundreds of them but none were being reported to management. Must be an order to hide the severe adverse events.,2021-05-29T15:11:06Z
67,Thank you for all the information you share with us.,2021-05-29T15:07:42Z
68,"And Pfizer data on the VAERS has been removed... hmmmm. “ trust our science, trust our experts” 😂🤣. Down-play vaccine side effects and fear monger the virus? Great science, way to go planet earth. Meanwhile we are evolving from primates 🙈🙉🙊",2021-05-29T14:25:03Z
69,"Is the vaers website international or just for US reporting? I read that since the vaers is voluntary reporting, only about 1% of the adverse effects are reported ..is that the case with the data of 62 cases out of millions?",2021-05-29T13:49:42Z
