,comments,dateStamp
48,Risk all that for a vaccine against something which won ’ t kill you . ?,2021-05-29T19:03:22Z
49,Funny to see worried about their hearts now .🤣🤣🤣 The most obese country in the world where basically live on hot dogs and ’ s they are now worried about a very rare condition a vaccine might pose . Hilarious !! 🤣🤣,2021-05-29T18:53:48Z
50,get van den on show for post vaccine,2021-05-29T18:29:48Z
51,Excellent content . .,2021-05-29T16:41:36Z
52,How about no . Worst case scenario 95 % survival rate from this scam so what do we need to inject poison for ? Oh yeah I know big needs a shot in the arm,2021-05-29T16:29:12Z
53,"I know 10 people that got vaccine , 3 of them got irregular heart , all now on medication for it , shove it up where sun ' t shine .",2021-05-29T16:27:07Z
54,a young woman talk yesterday about how she ' s feeling after her vaccination . She ' s got intermittent chest and exhausted . Her seem similar to be this . She ' s been off by most health care . She ' d not done a Yellow Card but now . Finally she ' s got a doc appointment for blood next week . No one what to people injured . Saw another post where a nurse in A & E hospital said they knew what vaccine people had before they were told . A ambulance man in large Hospital about all the he was in with after getting jabbed . He was told there were of them but none were being to management . Must be an order to hide the severe adverse .,2021-05-29T15:11:06Z
55,Thank you for all the information you share with us .,2021-05-29T15:07:42Z
56,"And data on the been removed ... . “ trust our science , trust our ” 😂🤣. Down - play vaccine side effects and fear monger the virus ? Great science , way to go planet earth . Meanwhile we are from 🙈🙉🙊",2021-05-29T14:25:03Z
57,"Is the international or just for US ? I read that since the is voluntary , only about 1 % of the adverse effects are .. is that the case with the data of 62 out of millions ?",2021-05-29T13:49:42Z
58,"' t vaccine equivalent to ' genetic engineering '? There is no long - term experiential or scientific , data on this type of vaccine . When thinking about ' lab - ' of the virus and how try God , by the unfathomable complexity of nature . it is scary to allow our for such a grand global experiment .",2021-05-29T12:38:05Z
59,16 : 04 There ' s a black hole for and correspondence . A black hole of intellect .🤣,2021-05-29T11:20:01Z
60,"4 : 52 A Potential heart rhythm ventricular fibrillation , That ' s "" cardiac arrest "" by another name . No pulse . If not , death comes very soon . I don ' t understand why doc the word the next sentence . Anything that can cause is not mild . Oh by the way , that drug that shall not be ( ) had the very rare side effect of a kind of ventricular tachycardia that might lead to cardiac arrest . Actually though , the drug prolongation on the , which might lead to chance of this rhythm but in the end , without an overdose there were very few anywhere , ever by this drug according to WHO . Now the shoe is on the other foot and it ' s the vaccine , the are being as usual .",2021-05-29T11:02:37Z
61,"Man hit by a bus after testing positive to Covid 19 ... Maybe he just ' t looking and stepped onto the road ? Maybe he had a medical episode ? Maybe Covid 19 him ? Yep ! Pretty sure it was the Covid 19 , whack that down on his death certificate . Man dead of heart failure 24 after covid 19 vaccine . Maybe he had an undiagnosed condition ? Maybe he over did it ? Maybe it was the covid vaccine ? Yep ! Pretty sure he had an undiagnosed condition , whack that down on the death certificate .",2021-05-29T10:48:03Z
62,"Hello , I would like to share with you that I had long covid last year ( March - 2020 ). I got my first shot of one month ago and had a really strong reaction ( fever , body pain , extreme fatigue , .. Three later I had a relapse exactly like the I had during long covid ( brain fog , weakness , , SOB , and muscle pain ). I got tested just to make sure I have not been re - infected and the result was negative . Here in the ongoing recommendation is to get only one shot of the vaccine if you already had Covid before but my doctor said it was to get the second , however she told me too to get an antibody test so we could decide . My antibody were over 384 , they could not even the exact number as it was above the limit . At the end my decided the best for me ( special case ) was to get the second shot in a couple of . I can imagine that people getting Myocarditis might be as me , an hyper reactive response . I dont know if this information is important or not but I to share it with you . for all your work !!",2021-05-29T10:38:22Z
63,Thanks to your an mind on our behalf ! I ’ m fully by the way with the vaccine .,2021-05-29T08:27:00Z
64,"I ' m an at one of the . I scan nearly 100 a week , most of whom have had the vaccine , I haven ' t come across any post vaccine myocarditis . This complication is rare .",2021-05-29T07:53:07Z
65,You run !! You put me to shame !! I ’ m no where near any marathon !,2021-05-29T07:50:54Z
66,"I ' m not bloody well taking that thing , thank you very much . They can f ** k right off .",2021-05-29T07:26:52Z
67,I took the vaccine . I ' m an 18 year old male . And I got myocarditis two days after my second dose . I took a and it went away,2021-05-29T06:43:03Z
68,"I really to hear now positive you are about these , but you don ’ t seem to learn about the from them and the no - need for these experimental . Look at what you are doing now ! People are already , and after , you start to discuss the !! So these are indeed experimental on people , is my opinion .",2021-05-29T06:26:38Z
69,"This MEDICAL EXPERIMENT ON PEOPLE TO STOP !!!!!! DON ' T TAKE IT !!!! IT ' S A HORRIBLE TECHNOLOGY THAT WE DONT NEED !! I PRAY THAT GOD WILL FORGIVE ALL THOSE WHO PROMOTE AND PUSH IT ON PEOPLE . CLEARLY FROM THIS VIDEO THEY ARE DOING "" STUDY "" ON THIS POISON WHILE GIVING IT TO OF PEOPLE . EVEN DON ' T WANT TO TAKE IT . !!!!!!!!!!!",2021-05-29T06:06:15Z
70,"MY PROBLEM .. DO WE HAVE PEOPLE WHO CAN SPEAK , WHO WE CAN ACTUALLY UNDERSTAND IN THE INVESTIGATION OF THIS DRUG !..??? I HAVE JUST COME TO THE END OF MY PATIENCE WITH IT !! MORE THEN TWO OF THE TIME I CANNOT UNDERSTAND WHAT IS BEING SAID WHY DONT PROPER SPEAKING PEOPLE DO RESEARCH ???",2021-05-29T06:01:53Z
71,"You are incredulous . These are NOT in any shape or fashion . They are a injection ,. They do not prevent infection or give immunity .,** BETTER TO GET THE actual INFECTION AND BE IMMUNE FOE LIFE . You are so and jaded by your big worship . In other , your are a huge waste of time .",2021-05-29T05:31:09Z
72,I ’ had myocarditis after a bad bout of throat and it ’ s no walk in the park I was on strict bed for almost a month .. and it was a while before I felt anywhere normal ...,2021-05-29T04:58:16Z
73,I certainly won ' t be taking this .,2021-05-29T04:17:54Z
74,I ' hold out for all you lab .,2021-05-29T04:03:24Z
75,"Still not getting the jab , I chose to loose 70 instead ... only side affect is I am close shopping a lot 😁 .",2021-05-29T03:55:25Z
76,"I had in 2008 by Pertussis getting into heart together with a secondary infection . Since then I had intermittent and often needing a in hospital to get back to sinus rhythm . 3 cardiac ablation later and a fairly rigid exercise routine , which my heart muscle I very seldom get . The last time was after a heavy cold which got into my chest and then heart and I a . I take 100mg of and 30mg of morning and night to prevent it . About 2 after my first vaccine I got , or it may have been Atrial Flutter . It was very puzzling as none of the usual ( they are principally electromagnetic ) were present . So I took my evening medication at 1 . 00 and lay down but that ' t restore sinus rhythm so at about 4 . 00 I took an extra 90 of . My heart returned to sinus rhythm about half an hour later . Good job I was sitting down because there was a sudden significant drop in blood pressure before the heart beating normally . I haven ' t had any further but I was concerned as to why the at that time . You have now provided the reason and I shall be on the look out for a similar occurrence after I have had my second jab .",2021-05-29T02:44:11Z
77,"Well , 1 / 100 . 000 death by side effects death rate by COVID for young under 30 . Therefore , people under 30 , with no , should not get any jab . Simple .",2021-05-29T02:39:46Z
78,"Unfortunately , it the US is that don ’ t support . I don ’ t feel proper were or are being given to vaccine on how to report adverse . A lack of data certainly their objective . Is there any information for those of us living with ? I am truly the vaccine could trigger an immune response that might be difficult to calm . Thank you !! ☮️",2021-05-29T02:36:36Z
79,it ' s NOT rare when it to YOU !,2021-05-29T02:20:20Z
80,"My father who is 83 is now in the hospital after a few minor at home and a major stroke while at the hospital . His heart rate in the ER got as low as 43 and never higher than 57 , he had no previous condition ' s that would have to this until after he received his second shot . There is no doubt in my mind this vaccine is the cause and my family is now nervously waiting by the phone as he is in the and not in day ' s .",2021-05-29T01:58:02Z
81,I don ’ t think there been any time in the history of the human race that uncertainty and are actually worse than dying from a virus .,2021-05-29T00:10:26Z
82,Most of the time people don ' t have any from .. or covid .. the difference is 100 . 000 . 000 . 000 $ market .,2021-05-28T23:38:31Z
83,A month ago you on of myocarditis in . Now - and you think it ' s correlation not causation ? Take a look at the rest of the world ... You think those people have an energy drink habit ? Or - does the fact it usually 4 days after the shot tell you something ?,2021-05-28T23:25:56Z
84,"My very healthy 23 year old nephew a heart attack and got with pericarditis 4 days after he with . He is a soldier / medical assistant at the army and since he had undergo frequent health he was - quote "" healthy and strong like an "" the army medical used to say . For me personally this health come with the vaccine - there ' s no doubt .",2021-05-28T23:20:58Z
85,After my first shot of at hospital I was shown the door within 5 . No waiting and no advice not to exercise . Worrying given I was walking 1 mile home . Now weary of getting 2nd shot even though I ' m 59 . need to be why there are so many to these . The level of risk might be low but why is there a risk at all ?,2021-05-28T22:30:46Z
86,How about take the vaccine if you want and don ' t take the vaccine if you don ' t want to ? The flu been around forever its still here . Covid will be here LONG after we are gone .,2021-05-28T22:28:54Z
87,Needs to get a bit more radical I ’ m afraid,2021-05-28T22:28:53Z
